,category,word,year
969,loyalty+,joint,1890
970,loyalty+,joint,1900
971,loyalty+,joint,1910
972,loyalty+,joint,1920
973,loyalty+,joint,1930
974,loyalty+,joint,1940
975,loyalty+,joint,1950
976,loyalty+,joint,1960
977,loyalty+,joint,1970
978,loyalty+,joint,1980
979,loyalty+,joint,1990
980,loyalty+,unison,1800
981,loyalty+,unison,1810
982,loyalty+,unison,1820
983,loyalty+,unison,1830
984,loyalty+,unison,1840
985,loyalty+,unison,1850
986,loyalty+,unison,1860
987,loyalty+,unison,1870
988,loyalty+,unison,1880
989,loyalty+,unison,1890
990,loyalty+,unison,1900
991,loyalty+,unison,1910
992,loyalty+,unison,1920
993,loyalty+,unison,1930
994,loyalty+,unison,1940
995,loyalty+,unison,1950
996,loyalty+,unison,1960
997,loyalty+,unison,1970
998,loyalty+,unison,1980
999,loyalty+,unison,1990
1000,loyalty+,unite,1800
1001,loyalty+,unite,1810
1002,loyalty+,unite,1820
1003,loyalty+,unite,1830
1004,loyalty+,unite,1840
1005,loyalty+,unite,1850
1006,loyalty+,unite,1860
1007,loyalty+,unite,1870
1008,loyalty+,unite,1880
1009,loyalty+,unite,1890
1010,loyalty+,unite,1900
1011,loyalty+,unite,1910
1012,loyalty+,unite,1920
1013,loyalty+,unite,1930
1014,loyalty+,unite,1940
1015,loyalty+,unite,1950
1016,loyalty+,unite,1960
1017,loyalty+,unite,1970
1018,loyalty+,unite,1980
1019,loyalty+,unite,1990
1020,loyalty+,fellow,1800
1021,loyalty+,fellow,1810
1022,loyalty+,fellow,1820
1023,loyalty+,fellow,1830
1024,loyalty+,fellow,1840
1025,loyalty+,fellow,1850
1026,loyalty+,fellow,1860
1027,loyalty+,fellow,1870
1028,loyalty+,fellow,1880
1029,loyalty+,fellow,1890
1030,loyalty+,fellow,1900
1031,loyalty+,fellow,1910
1032,loyalty+,fellow,1920
1033,loyalty+,fellow,1930
1034,loyalty+,fellow,1940
1035,loyalty+,fellow,1950
1036,loyalty+,fellow,1960
1037,loyalty+,fellow,1970
1038,loyalty+,fellow,1980
1039,loyalty+,fellow,1990
1040,loyalty+,devote,1800
1041,loyalty+,devote,1810
1042,loyalty+,devote,1820
1043,loyalty+,devote,1830
1044,loyalty+,devote,1840
1045,loyalty+,devote,1850
1046,loyalty+,devote,1860
1047,loyalty+,devote,1870
1048,loyalty+,devote,1880
1049,loyalty+,devote,1890
1050,loyalty+,devote,1900
1051,loyalty+,devote,1910
1052,loyalty+,devote,1920
1053,loyalty+,devote,1930
